name,birthdate,birth_name,birth_place,birth_region,birth_country,height_meters,nickname
Chrissy Teigen,1985-11-30,Christine Diane Teigen,Delta,Utah,USA,1.7,
Linda McCartney,1941-09-24,Linda Louise Eastman,New York City,New York,USA,1.75,
Kristen Schaal,1978-01-24,Kristen Joy Schaal,Longmont,Colorado,USA,1.74,
Stephen Hawking,1942-01-08,Stephen William Hawking,Oxfordshire,England,UK,1.69,
Bob Newhart,1929-09-05,George Robert Newhart,Oak Park,Illinois,USA,1.68,
D'arcy Wretzky,1968-05-01,Darcy Elizabeth Wretzky,South Haven,Michigan,USA,1.73,
Tom Clancy,1947-04-12,Thomas Leo Clancy Jr.,Baltimore,Maryland,USA,1.88,
Cecily Strong,1984-02-08,Cecily Legler Strong,Springfield,Illinois,USA,1.73,
Tommy Chong,1938-05-24,Thomas B. Kin Chong,Edmonton,Alberta,Canada,1.78,
Penny Marshall,1943-10-15,Carole Penny Marshall,New York City,New York,USA,1.68,
Joey King,1999-07-30,Joey Lynn King,Los Angeles,California,USA,1.63,
Brian Grazer,1951-07-12,Brian Thomas Grazer,Los Angeles,California,USA,1.7,
Joyce Brothers,1927-10-20,Joyce Diane Bauer,New York City,New York,USA,1.52,
Steve Sax,1960-01-29,Stephen Louis Sax,Sacramento,California,USA,1.8,
Martie Maguire,1969-10-12,Martha Eleanor Erwin,York,Pennsylvania,USA,1.73,
Michael Imperioli,1966-03-26,James Michael Imperioli,Mount Vernon,New York,USA,1.73,
Zach Galifianakis,1969-10-01,Zacharius Knight Galifianakis,Wilkesboro,North Carolina,USA,1.7,
Andre Agassi,1970-04-29,Andre Kirk Agassi,Las Vegas,Nevada,USA,1.8,
Jeremy Irons,1948-09-19,Jeremy John Irons,Isle of Wight,England,UK,1.87,
Tim Robbins,1958-10-16,Timothy Francis Robbins,West Covina,California,USA,1.95,
Ricky Gervais,1961-06-25,Ricky Dene Gervais,Berkshire,England,UK,1.73,
Richard Dawkins,1941-03-26,Clinton Richard Dawkins,Nairobi,,Kenya,1.78,Darwin's Rottweiler
Meryl Streep,1949-06-22,Mary Louise Streep,Summit,New Jersey,USA,1.68,
Matthew Weiner,1965-06-29,,Baltimore,Maryland,USA,1.71,Matt
Tom Smothers,1937-02-02,Thomas Bolyn Smothers III,New York City,New York,USA,1.74,
Jay North,1951-08-03,Jay Waverly North Jr.,Los Angeles,California,USA,1.7,
Sting,1951-10-02,Gordon Matthew Thomas Sumner,Newcastle upon Tyne,England,UK,1.81,
Wanda Sykes,1964-03-07,Wanda Yvette Sykes,Portsmouth,Virginia,USA,1.57,
Kate Pierson,1948-04-27,Katherine Elizabeth Pierson,Weehawken,New Jersey,USA,1.56,
Larry King,1933-11-19,Lawrence Harvey Zeiger,New York City,New York,USA,1.75,
Martin Sheen,1940-08-03,Ramon Antonio Gerard Estevez,Dayton,Ohio,USA,1.7,
B-Real,1970-06-02,Louis Freese,Hollywood,California,USA,1.88,
Tom Petty,1950-10-20,Thomas Earl Petty,Gainesville,Florida,USA,1.75,
Vanessa Bayer,1981-11-14,Vanessa Polster Bayer,Cleveland,Ohio,USA,1.68,
Penn Jillette,1955-03-05,Penn Fraser Jillette,Greenfield,Massachusetts,USA,1.99,
Natalie Portman,1981-06-09,Natalie Hershlag,Jerusalem,,Israel,1.6,Nat
Jon Hamm,1971-03-10,Jonathan Daniel Hamm,St. Louis,Missouri,USA,1.86,
Sofía Vergara,1972-07-10,Sofía Margarita Vergara Vergara,Barranquilla,,Colombia,1.7,La Toti
Dick Cavett,1936-11-19,Richard Alva Cavett,Gibbon,Nebraska,USA,1.69,
John Goodman,1952-06-20,John Stephen Goodman,St. Louis,Missouri,USA,1.88,
Ira Glass,1959-03-03,Ira Jeffrey Glass,Baltimore,Maryland,USA,1.88,
Kim Gordon,1953-04-28,,Rochester,New York,USA,1.65,Godmother of Grunge
Mitch Albom,1958-05-23,Mitchell David Albom,Passaic,New Jersey,USA,1.68,
Norman Lear,1922-07-27,Norman Milton Lear,New Haven,Connecticut,USA,1.75,
Max von Sydow,1929-04-10,Carl Adolf von Sydow,Lund,Skåne län,Sweden,1.93,
Lenny Kravitz,1964-05-26,Leonard Albert Kravitz,New York City,New York,USA,1.75,
Brendan Fraser,1968-12-03,Brendan James Fraser,Indianapolis,Indiana,USA,1.9,
Stephen Merchant,1974-11-24,,Bristol,England,UK,2.01,Smerch
William Daniels,1927-03-31,,Brooklyn,New York,USA,1.7,Bill
Rob Reiner,1947-03-06,Robert Reiner,New York City,New York,USA,1.88,
Nick Bakay,1959-10-08,,Buffalo,New York,USA,1.83,Shaggy
Eli Manning,1981-01-03,Elisha Nelson Manning,New Orleans,Louisiana,USA,1.95,
David X. Cohen,1966-07-13,David Samuel Cohen,Englewood,New Jersey,USA,1.73,
Jane Leeves,1961-04-18,Jane Elizabeth Leeves,Essex,England,UK,1.78,
The Edge,1961-08-08,David Howell Evans,Essex,England,UK,1.78,
Anthony Kiedis,1962-11-01,,Grand Rapids,Michigan,USA,1.75,The Swan
Cat Deeley,1976-10-23,Catherine Elizabeth Deeley,Birmingham,England,UK,1.75,
Patton Oswalt,1969-01-27,Patton Peter Oswalt,Portsmouth,Virginia,USA,1.61,
Ken Burns,1953-07-29,Kenneth Lauren Burns,Brooklyn,New York,USA,1.7,
Marvin Hamlisch,1944-06-02,Marvin Frederick Hamlisch,New York City,New York,USA,1.88,
Elvis Costello,1954-08-25,Declan Patrick Aloysis McManus,London,England,UK,1.76,
Neil Patrick Harris,1973-06-15,,Albuquerque,New Mexico,USA,1.83,NPH
Nicole Wilder,1970-01-16,Nicole Jonssen Wilder,Newport Beach,California,USA,1.75,
Mr. T,1952-05-21,Lawrence Tureaud,Chicago,Illinois,USA,1.79,
Phil LaMarr,1967-01-24,Phillip LaMarr,Los Angeles,California,USA,1.78,
Mike Scully,1956-10-02,Michael C. Scully,Springfield,Massachusetts,USA,1.74,
Maurice LaMarche,1958-03-30,,Toronto,Ontario,Canada,1.83,Moe
Lawrence Tierney,1919-03-15,Lawrence James Tierney,Brooklyn,New York,USA,1.85,
Garry Marshall,1934-11-13,Garry Kent Maschiarelli,New York City,New York,USA,1.78,
Sarah Michelle Gellar,1977-04-14,,New York City,New York,USA,1.63,SMG
Cory Monteith,1982-05-11,Cory Allan Michael Monteith,Calgary,Alberta,Canada,1.92,
Kirk Douglas,1916-12-09,Issur Herschelevitch Danielovitch,Amsterdam,New York,USA,1.75,
Marv Albert,1941-06-12,Marvin Philip Aufrichtig,Brooklyn,New York,USA,1.69,
Theodore Roosevelt,,Theodore Roosevelt Jr.,New York City,New York,USA,1.78,The Happy Warrior
Al Roker,1954-08-20,Albert Lincoln Roker Jr.,Queens,New York,USA,1.69,
Dustin Hoffman,1937-08-08,Dustin Lee Hoffman,Los Angeles,California,USA,1.67,
Jack LaLanne,1914-09-26,François Henri LaLanne,San Francisco,California,USA,1.68,
Taraji P. Henson,1970-09-11,Taraji Penda Henson,Washington,District of Columbia,USA,1.63,
Suze Orman,1951-06-05,Susan Lynn Orman,Chicago,Illinois,USA,1.63,
Kiefer Sutherland,1966-12-21,Kiefer William Frederick Dempsey George Rufus Sutherland,London,England,UK,1.74,
Maggie Roswell,1952-11-14,Mary Margaret Nina Roswell,Los Angeles,California,USA,1.68,
James Lipton,1926-09-19,Louis James Lipton,Detroit,Michigan,USA,1.7,
Tito Puente,1923-04-20,Ernest Anthony Puente Jr.,New York City,New York,USA,,The King of the Mambo
Jane Lynch,1960-07-14,Jane Marie Lynch,Dolton,Illinois,USA,1.83,
Kathy Lette,1958-11-11,Katherine Marie Lette,Sydney,New South Wales,Australia,1.6,
Neve Campbell,1973-10-03,Neve Adrianne Campbell,Guelph,Ontario,Canada,1.7,
Jane Goodall,1934-04-03,Valerie Jane Goodall,London,England,UK,1.65,
Graeme Garden,1943-02-18,David Graeme Garden,Aberdeenshire,Scotland,UK,1.78,
Tina Fey,1970-05-18,Elizabeth Stamatina Fey,Upper Darby,Pennsylvania,USA,1.64,
Ray Liotta,1954-12-18,Raymond Allen Liotta,Newark,New Jersey,USA,1.82,
Werner Herzog,1942-09-05,Werner H. Stipetic,Munich,Bavaria,Germany,1.83,
Bob Odenkirk,1962-10-22,Robert John Odenkirk,Naperville,Illinois,USA,1.75,
Matt Groening,1954-02-15,Matthew Abram Groening,Portland,Oregon,USA,1.75,
Mike Mills,1958-12-17,Michael Edward Mills,Orange County,California,USA,1.8,
Albert Brooks,1947-07-22,Albert Lawrence Einstein,Beverly Hills,California,USA,1.8,
Gene Tenace,1946-10-10,Fiore Gino Tennaci,Russellton,Pennsylvania,USA,1.83,
Ricky Jay,1946-06-26,Richard Jay Potash,New York City,New York,USA,1.68,
George Harrison,1943-02-25,,Merseyside,England,UK,1.78,Magpie
Chad Smith,1961-10-25,Chad Gaylord Smith,St. Paul,Minnesota,USA,1.91,
Nick Kroll,1978-06-05,Nicholas J. Kroll,New York City,New York,USA,1.75,
Aaron Paul,1979-08-27,Aaron Paul Sturtevant,Emmett,Idaho,USA,1.73,
Larry Holmes,1949-11-03,,Cuthbert,Georgia,USA,1.91,The Easton Assassin
Jack Burns,1933-11-15,John Francis Burns,Boston,Massachusetts,USA,1.8,
Greg Berg,1960-11-24,Gregory M. Berg,Sacramento,California,USA,1.8,
Buzz Aldrin,1930-01-20,Edwin Eugene Aldrin Jr.,Montclair,New Jersey,USA,1.78,
Emily Robison,1972-08-16,Emily Burns Erwin,Pittsfield,Massachusetts,USA,1.75,
Ed Begley Jr.,1949-09-16,Edward James Begley Jr.,Los Angeles,California,USA,1.93,
Mel Gibson,1956-01-03,Mel Columcille Gerard Gibson,Peekskill,New York,USA,1.77,
Bill de Blasio,1961-05-08,Warren Wilhelm Jr.,New York City,New York,USA,1.96,
Mark Hamill,1951-09-25,Mark Richard Hamill,Oakland,California,USA,1.75,
Sam Neill,1947-09-14,Nigel Neill,Co. Tyrone,Northern Ireland,UK,1.83,
Sir Mix A Lot,1963-08-12,Anthony Ray,Seattle,Washington,USA,1.8,
Jenny Slate,1982-03-25,Jenny Sarah Slate,Milton,Massachusetts,USA,1.63,
Ray Romano,1957-12-21,Raymond Albert Romano,New York City,New York,USA,1.87,
Michael Sheen,1969-02-05,Michael Christopher Sheen,Gwent,Wales,UK,1.78,
Wolfgang Puck,1949-07-08,Wolfgang Johann Topfschnig,St. Veit an der Glan,Carinthia,Austria,1.73,
Tom Waits,1949-12-07,Thomas Alan Waits,Pomona,California,USA,1.8,
Allison Janney,1959-11-19,Allison Brooks Janney,Dayton,Ohio,USA,1.83,
Gedde Watanabe,1955-06-26,Gary Watanabe,Ogden,Utah,USA,1.7,
Bob Costas,1952-03-22,Robert Quinlan Costas,Queens,New York,USA,1.7,
Rupert Murdoch,1931-03-11,Rupert Keith Murdoch,Melbourne,Victoria,Australia,1.78,
Paul Anka,1941-07-30,Paul Albert Anka,Ottawa,Ontario,Canada,1.68,
Mary-Kate Olsen,1986-06-13,,Sherman Oaks,California,USA,1.57,M.K.
Nancy Cartwright,1957-10-25,Nancy Jean Cartwright,Dayton,Ohio,USA,1.57,
Seth Rogen,1982-04-15,Seth Aaron Rogen,Vancouver,British Columbia,Canada,1.8,
Pierce Brosnan,1953-05-16,Pierce Brendan Brosnan,Drogheda,County Louth,Ireland,1.86,
Leslie Mann,1972-03-26,Leslie Jean Mann,San Francisco,California,USA,1.69,
Donald Sutherland,1935-07-17,Donald McNichol Sutherland,Saint John,New Brunswick,Canada,1.92,
Chris Edgerly,1969-08-06,Christopher Edgerly,Silver Spring,Maryland,USA,1.83,
Dick Tufeld,1926-12-11,Richard Norton Tufeld,Los Angeles,California,USA,1.88,
Kathleen Turner,1954-06-19,Mary Kathleen Turner,Springfield,Missouri,USA,1.72,
Valerie Harper,1939-08-22,Valerie Kathryn Harper,Suffern,New York,USA,1.68,
Julie Forte,1971-08-23,Julie Fabienne Forte,Burbank,California,USA,1.73,
Kat Dennings,1986-06-13,Katherine Victoria Litwack,Philadelphia,Pennsylvania,USA,1.64,
Dan Marino,1961-09-15,Daniel Constantine Marino Jr.,Pittsburgh,Pennsylvania,USA,1.93,
Ed McMahon,1923-03-06,Edward Peter Leo McMahon Jr.,Detroit,Michigan,USA,1.93,
Jackie Mason,1928-06-09,Jacob Moshe Maza,Sheboygan,Wisconsin,USA,1.65,
John Lodge,1945-07-20,John Charles Lodge,Birmingham,England,UK,,Rocker
Carice van Houten,1976-09-05,Carice Anouk van Houten,Leiderdorp,Zuid-Holland,Netherlands,1.65,
Tress MacNeille,1951-06-20,Teressa Claire Payne,Chicago,Illinois,USA,1.64,
Chris Martin,1977-03-02,Christopher Anthony John Martin,Devon,England,UK,1.86,
Cobie Smulders,1982-04-03,Jacoba Francisca Maria Smulders,Vancouver,British Columbia,Canada,1.73,
Leeza Gibbons,1957-03-26,Leeza Kim Gibbons,Hartsville,South Carolina,USA,1.73,
Greg Daniels,1963-06-13,Gregory Martin Daniels,New York City,New York,USA,1.87,
Matt Dillon,1964-02-18,Matthew Raymond Dillon,New Rochelle,New York,USA,1.83,
Liam Neeson,1952-06-07,William John Neeson,Co. Antrim,Northern Ireland,UK,1.93,
Martin Mull,1943-08-18,Martin Eugene Mull,Chicago,Illinois,USA,1.78,
Cheech Marin,1946-07-13,Richard Anthony Marin,Los Angeles,California,USA,1.68,
Kara DioGuardi,1970-12-09,Kara Elizabeth DioGuardi,Scarsdale,New York,USA,1.65,
Halle Berry,1966-08-14,Maria Halle Berry,Cleveland,Ohio,USA,1.66,
Kristen Wiig,1973-08-22,Kristen Carroll Wiig,Canandaigua,New York,USA,1.65,
Robert A. Caro,1935-10-30,Robert Allan Caro,New York City,New York,USA,,Robert Caro
Meg Ryan,1961-11-19,Margaret Mary Emily Anne Hyra,Fairfield,Connecticut,USA,1.73,
Justin Roiland,1980-02-21,Mark Justin Roiland,Stockton,California,USA,1.78,
Mark Hoppus,1972-03-15,Mark Allan Hoppus,Ridgecrest,California,USA,1.83,
Tom Arnold,1959-03-06,Thomas Duane Arnold,Ottumwa,Iowa,USA,1.85,
Joey Miyashima,1957-11-18,Joseph Paul Miyashima,Los Angeles,California,USA,1.78,
Tony Anselmo,1960-02-18,Tony Frank Anselmo,Salt Lake City,Utah,USA,1.82,
Rivers Cuomo,1970-06-13,,New York City,New York,USA,1.7,Ace
Rob Riggle,1970-04-21,Robert Allen Riggle Jr,Louisville,Kentucky,USA,1.89,
Dave Thomas,1949-05-20,David William Thomas,St. Catharines,Ontario,Canada,1.78,
Julian Assange,1971-07-03,Julian Paul Assange,Townsville,Queensland,Australia,1.88,
Rachel Bloom,1987-04-03,Rachel Leah Bloom,Los Angeles,California,USA,1.6,
Robert Nichols II,1958-05-04,Robert Lee Nichols II,Manhattan Beach,California,USA,,Bubba
Dan Rather,1931-10-31,Dan Irvin Rather Jr.,Wharton,Texas,USA,1.8,
Marc Terenzi,1978-06-27,Marc Eric Terenzi,Newton/Welsley,Massachusetts,USA,1.75,
Eric Stefani,1967-06-17,Eric Matthew Stefani,Fullerton,California,USA,1.83,
Christopher Guest,1948-02-05,Christopher Haden-Guest,New York City,New York,USA,1.8,
Frances Sternhagen,1930-01-13,Frances Hussey Sternhagen,Washington,District of Columbia,USA,1.6,
Keith Richards,1943-12-18,,Kent,England,UK,1.74,Keef
Boots Riley,1971-04-01,Raymond Lawrence Riley,Chicago,Illinois,USA,1.71,
Steve Carell,1962-08-16,Steven John Carell,Concord,Massachusetts,USA,1.75,
Kevin Dillon,1965-08-19,Kevin Brady Dillon,Mamaroneck,New York,USA,1.78,
Wesley Archer,1961-11-26,Wesley Meyer Archer,Houston,Texas,USA,,WesArchermation
Martin Landau,1928-06-20,,New York City,New York,USA,1.89,Marty
Maya Rudolph,1972-07-27,Maya Khabira Rudolph,Gainesville,Florida,USA,1.7,
Steve Allen,1921-12-26,Stephen Valentine Patrick William Allen,New York City,New York,USA,1.91,
Jason Bateman,1969-01-14,Jason Kent Bateman,Rye,New York,USA,1.8,
George Wendt,1948-10-17,George Robert Wendt,Chicago,Illinois,USA,1.73,
Rachel Dratch,1966-02-22,Rachel Susan Dratch,Lexington,Massachusetts,USA,1.52,
Steven Wright,1955-12-06,Steven Alexander Wright,Cambridge,Massachusetts,USA,1.8,
Nancy O'Dell,1966-02-25,Nancy Evelyn Humphries,Sumter,South Carolina,USA,1.77,
Ray Thomas,1941-12-29,Raymond Thomas,Stourport on Severn,England,UK,1.8,
Harlan Ellison,1934-05-27,Harlan Jay Ellison,Cleveland,Ohio,USA,1.59,
Chelsea Peretti,1978-02-20,Chelsea Vanessa Peretti,Contra Costa,California,USA,1.68,
Rod Steiger,1925-04-14,Rodney Stephan Steiger,Westhampton,New York,USA,1.78,
Edwin Moses,1955-08-31,Edwin Corley Moses,Dayton,Ohio,USA,1.88,
Daniel Stern,1957-08-28,Daniel Jacob Stern,Bethesda,Maryland,USA,1.93,
Jane Krakowski,1968-10-11,Jane Krajkowski,Parsippany,New Jersey,USA,1.64,
Tracy Morgan,1968-11-10,Tracy Jamal Morgan,New York City,New York,USA,1.74,
Dennis Franz,1944-10-28,Dennis Franz Schlacta,Maywood,Illinois,USA,1.78,
Common,1972-03-13,Lonnie Rashid Lynn,Chicago,Illinois,USA,1.84,
Jimmy Chamberlin,1964-06-10,James Joseph Chamberlin,Joliet,Illinois,USA,1.78,
Kim Cattrall,1956-08-21,Kim Victoria Cattrall,Liverpool,England,UK,1.69,
Teller,1948-02-14,Raymond Joseph Teller,Philadelphia,Pennsylvania,USA,1.73,
Jan Hooks,1957-04-23,Janet Vivian Hooks,Decatur,Georgia,USA,1.68,
Seth MacFarlane,1973-10-26,Seth Woodbury MacFarlane,Kent,Connecticut,USA,1.81,
Tracey Ullman,1959-12-30,Trace Ullman,Berkshire,England,UK,1.66,
Helen Hunt,1963-06-15,Helen Elizabeth Hunt,Culver City,California,USA,1.7,
Billy Corgan,1967-03-17,William Patrick Corgan,Chicago,Illinois,USA,1.91,
Don Pardo,1918-02-22,Dominick George Pardo,Westfield,Massachusetts,USA,1.85,
Mel Brooks,1926-06-28,Melvin James Kaminsky,New York City,New York,USA,1.65,
Jamie Hyneman,1956-09-25,James Franklin Hyneman,Marshall,Michigan,USA,1.74,
Jay Kogen,1963-05-03,Jay Steven Kogen,New York City,New York,USA,1.73,
Hugh Laurie,1959-06-11,James Hugh Calum Laurie,Oxfordshire,England,UK,1.9,
Jim Cummings,1952-11-03,James Jonah Cummings,Youngstown,Ohio,USA,1.73,
Gillian Anderson,1968-08-09,Gillian Leigh Anderson,Chicago,Illinois,USA,1.6,
Michael Rapaport,1970-03-20,Michael David Rapaport,New York City,New York,USA,1.93,
Tom Mazzocco,1959-10-02,Thomas Norval Mazzocco,Inglewood,California,USA,1.83,
Patti LuPone,1949-04-21,Patti Ann LuPone,Long Island,New York,USA,1.57,
George Segal,1934-02-13,George Segal Jr.,Long Island,New York,USA,1.79,
Kelsey Grammer,1955-02-21,Allen Kelsey Grammer,St. Thomas,U.S. Virgin Islands,USA,1.85,
Brad Bird,1957-09-24,Phillip Bradley Bird,Kalispell,Montana,USA,1.73,
Rhea Perlman,1948-03-31,Rhea Jo Perlman,New York City,New York,USA,1.52,
Isabella Rossellini,1952-06-18,Isabella Fiorella Elettra Giovanna Rossellini,Rome,Lazio,Italy,1.73,
Serena Williams,1981-09-26,Serena Jameka Williams,Saginaw,Michigan,USA,1.75,
Chick Hearn,1916-11-27,Francis Dayle Hearn,Aurora,Illinois,USA,1.91,
Steven Weber,1961-03-04,Steven Robert Weber,New York City,New York,USA,1.85,
Rachel Weisz,1970-03-07,Rachel Hannah Weisz,London,England,UK,1.68,
Jennifer Garner,1972-04-17,Jennifer Anne Garner,Houston,Texas,USA,1.73,
Steve Ballmer,1956-03-24,Steven Anthony Ballmer,Detroit,Michigan,USA,1.96,
James Iha,1968-03-26,James Yoshinobu Iha,Chicago,Illinois,USA,1.75,
John Legend,1978-12-28,John Roger Stephens,Springfield,Ohio,USA,1.75,
Michael McKean,1947-10-17,Michael John McKean,New York City,New York,USA,1.83,
Keone Young,1947-09-06,Keone Joseph Young,Honolulu,Hawaii,USA,1.7,
Don Hertzfeldt,1976-08-01,Donald Charles Hertzfeldt,Fremont,California,USA,1.75,
Bob Beecher,1957-07-13,Robert W. Beecher Jr.,Hollywood,California,USA,1.98,
Brent Spiner,1949-02-02,Brent Jay Spiner,Houston,Texas,USA,1.78,
Henry Winkler,1945-10-30,Henry Franklin Winkler,New York City,New York,USA,1.68,
J.B. Smoove,1965-12-16,Jerry Brooks,Plymouth,North Carolina,USA,1.88,
Diedrich Bader,1966-12-24,Karl Diedrich Bader,Alexandria,Virginia,USA,1.88,
Charlie Brooker,1971-03-03,Charlton Brooker,Reading,Berkshire,England,1.8,
Christopher Collins,1949-08-30,Christopher Lawrence Latta,Orange,New Jersey,USA,1.88,
Drew Carey,1958-05-23,Drew Allison Carey,Cleveland,Ohio,USA,1.78,
Mike Gordon,1965-06-03,Michael Eliot Gordon,Boston,Massachusetts,USA,1.7,
Bono,1960-05-10,Paul David Hewson,Dublin,,Ireland,1.66,The Mirrorball Man
Ted Danson,1947-12-29,Edward Bridge Danson III,San Diego,California,USA,1.89,
Sal Bando,1944-02-13,Salvatore Leonard Bando,Cleveland,Ohio,USA,1.83,
Gerry Cooney,1956-08-24,,New York City,New York,USA,1.98,The Great White Hope
Neil Armstrong,1930-08-05,Neil Alden Armstrong,Wapakoneta,Ohio,USA,1.8,
Illeana Douglas,1965-07-25,Illeana Hesselberg,Quincy,Massachusetts,USA,1.74,
Melanie Griffith,1957-08-09,Melanie Richards Griffith,New York City,New York,USA,1.73,
Danny Elfman,1953-05-29,Daniel Robert Elfman,Los Angeles,California,USA,1.78,
Ian McKellen,1939-05-25,Ian Murray McKellen,Lancashire,England,UK,1.8,
Lily Tomlin,1939-09-01,Mary Jean Tomlin,Detroit,Michigan,USA,1.66,
Johnny Ramone,1948-10-08,John William Cummings,New York City,New York,USA,1.83,
Yaya DaCosta,1982-11-15,CamaraYaya DaCosta Johnson,New York City,New York,USA,1.7,
Armie Hammer,1986-08-28,Armand Douglas Hammer,Los Angeles,California,USA,1.96,
Jose Canseco,1964-07-02,Jose Canseco y Capas Jr.,Havana,,Cuba,1.92,The Chemist
Kimmy Robertson,1954-11-27,Kim Robertson,Los Angeles,California,USA,1.57,
Treat Williams,1951-12-01,Richard Treat Williams,Rowayton,Connecticut,USA,1.8,
Ian Maxtone-Graham,1959-07-03,Ian Howes Maxtone-Graham,New York City,New York,USA,2.03,
Kate McKinnon,1984-01-06,Kathryn McKinnon Berthold,Sea Cliff,New York,USA,1.61,
Gary Coleman,1968-02-08,Gary Wayne Coleman,Zion,Illinois,USA,1.4,
Neil deGrasse Tyson,1958-10-05,Neil de Grasse Tyson,New York City,New York,USA,1.88,
Kevin Curran,1957-02-27,Kevin Patrick Curran,Hartford,Connecticut,USA,1.89,
Meg White,1974-12-10,Megan Martha White,Detroit,Michigan,USA,1.66,
Joe Mantegna,1947-11-13,Joseph Anthony Mantegna Jr.,Chicago,Illinois,USA,1.82,
Awkwafina,1988-06-02,Nora Lum,New York City,New York,USA,1.55,
Roosevelt Grier,1932-07-14,,Linden,New Jersey,USA,1.96,Rosey
Werner Klemperer,1920-03-22,,Cologne,North Rhine-Westphalia,Germany,1.78,Klempy
Jeff Goldblum,1952-10-22,Jeffrey Lynn Goldblum,Pittsburgh,Pennsylvania,USA,1.95,
Charlie Rose,1942-01-05,Charles Pete Rose Jr.,Henderson,North Carolina,USA,1.92,
Beverly D'Angelo,1951-11-15,Beverly Heather D'Angelo,Columbus,Ohio,USA,1.57,
Eva Longoria,1975-03-15,Eva Jacqueline Longoria,Corpus Christi,Texas,USA,1.57,
Robert Goulet,1933-11-26,Robert Gerard Goulet,Lawrence,Massachusetts,USA,1.83,
Christopher Ward,1965-10-08,Christopher Joseph Ward,Queens,New York,USA,1.85,
Hank Azaria,1964-04-25,Henry Albert Azaria,New York City,New York,USA,1.82,
Janeane Garofalo,1964-09-28,Janeane Marie Garofalo,Newton,New Jersey,USA,1.55,
Frankie Muniz,1985-12-05,Francisco Muniz IV,Wood Ridge,New Jersey,USA,1.65,
Keith Strickland,1953-10-26,Julian Keith Strickland,Athens,Georgia,USA,1.85,
Johnny Mathis,1935-09-30,John Royce Mathis,Gilmer,Texas,USA,1.71,
James Earl Jones,1931-01-17,,Arkabutla,Mississippi,USA,1.87,Todd
Stephen Colbert,1964-05-13,Stephen Tyrone Colbert,Washington,District of Columbia,USA,1.8,
Flea,1962-10-16,Michael Peter Balzary,Melbourne,Victoria,Australia,1.68,
John Madden,1936-04-10,John Earl Madden,Austin,Minnesota,USA,1.93,
Spike Feresten,1964-09-03,Michael Donovan Feresten Jr,West Bridgewater,Massachusetts,USA,1.75,
Emily Deschanel,1976-10-11,Emily Erin Deschanel,Los Angeles,California,USA,1.75,
Bobby Moynihan,1977-01-31,Robert Michael Moynihan Jr.,Eastchester,New York,USA,1.7,
Jim Varney,1949-06-15,James Albert Varney Jr.,Lexington,Kentucky,USA,1.85,
Rich Sommer,1978-02-02,Richard Olen Sommer II,Toledo,Ohio,USA,1.85,
Brian Posehn,1966-07-06,Brian Edmund Posehn,Sacramento,California,USA,2.0,
Stacy Keach,1941-06-02,Walter Stacy Keach Jr.,Savannah,Georgia,USA,1.82,
Mary Lynn Rajskub,1971-06-22,,Detroit,Michigan,USA,1.68,Mare
Hans Zimmer,1957-09-12,Hans Florian Zimmer,Frankfurt am Main,Hesse,West Germany,1.78,
Seth Green,1974-02-08,Seth Benjamin Gesshel-Green,Philadelphia,Pennsylvania,USA,1.63,
Pharrell Williams,1973-04-05,,Virginia Beach,Virginia,USA,1.75,P. Willy
Fred Schneider,1951-07-01,Frederick W. Schneider III,Newark,New Jersey,USA,1.73,
John Mahoney,1940-06-20,Charles John Mahoney,Lancashire,England,UK,1.73,
Jonah Hill,1983-12-20,Jonah Hill Feldstein,Los Angeles,California,USA,1.7,
John DiMaggio,1968-09-04,John William DiMaggio,North Plainfield,New Jersey,USA,1.92,
Harry Morgan,1915-04-10,Harry Bratsberg,Detroit,Michigan,USA,1.68,
Andrew Rannells,1978-08-23,Andrew Scott Rannells,Omaha,Nebraska,USA,1.85,
Will Lyman,1948-05-20,William Remington Lyman,Burlington,Vermont,USA,1.91,
Wren T. Brown,1964-06-11,Wren Troy Brown,Los Angeles,California,USA,1.85,
Lee Ranaldo,1956-02-03,Lee Mark Ranaldo,Long Island,New York,USA,1.8,
Michelle Pfeiffer,1958-04-29,Michelle Marie Pfeiffer,Santa Ana,California,USA,1.71,
Matt Leinart,1983-05-11,Matthew Stephen Leinart,Santa Ana,California,USA,1.96,
John C. Reilly,1965-05-24,John Christopher Reilly,Chicago,Illinois,USA,1.88,
Jackson Browne,1948-10-09,Clyde Jackson Browne,Heidelberg,,Germany,1.74,Tarbaby
Jack Lemmon,1925-02-08,John Uhler Lemmon III,Newton,Massachusetts,USA,1.78,
Sacha Baron Cohen,1971-10-13,Sacha Noam Baron Cohen,London,England,UK,1.91,
John Oliver,1977-04-23,John William Oliver,Birmingham,England,UK,1.83,
Billy West,1952-04-16,William Richard West,Detroit,Michigan,USA,1.63,
Alton Brown,1962-07-30,,Los Angeles,California,USA,1.78,AB
David Mamet,1947-11-30,David Alan Mamet,Chicago,Illinois,USA,1.68,
Guillermo del Toro,1964-10-09,Guillermo del Toro Gómez,Guadalajara,Jalisco,Mexico,1.78,
Paul Winfield,1939-05-22,Paul Edward Winfield,Los Angeles,California,USA,1.88,
Tom Poston,1921-10-17,Thomas Gordon Poston,Columbus,Ohio,USA,1.85,
Julie Kavner,1950-09-07,Julie Deborah Kavner,Los Angeles,California,USA,1.7,
